Blog	help	cup	world	along	finally	enjoy	hour	myself	blog	does	couple	oil	weekend	rest	almost	later	least	its	kind	during	large	read	sugar	already	yet	hand	bowl	doesn	told	salt	black	butter	free	mix	comes	bad	three	using	garlic	bring	chocolate	school	probably	anything	show	tell	yes	trying	hope	mom	turn	instead	less	saw	light	remember	taste	pepper	cooked	heat	lots	brown	weeks	store	bread	lunch	able	eating	picture	milk	ingredients	between	sunday	maybe	might	tried	pan	idea	low	leave	won	head	far	trip	nothing	kitchen	onion	perfect	oh	coming	asked	call	rice	working	dish	saturday	share	usually	warm	taking	gave	cake	oven	stir	needed	soon	check	cold	point	wonderful	must	beautiful	ice	ground	baby	egg	stop	wasn	open	friday	looked	live	breakfast	meat	watch	real	loved	believe	turned	th	serve	outside	often	soup	second	birthday	stuff	eggs	simple	bought	early	under	table	salad	chopped	pictures	yesterday	name	several	book	buy	baking	visit	party	someone	amp	delicious	meal	especially	summer	past	potatoes	cover	cups	dry	flour	couldn	wait	season	isn	line	man	guess	pieces	extra	play	looks	bake	minute	short	front	else	mixture	sometimes	either	knew	late	however	special	walk	person	bed	medium	fact	goes	juice	month	change	tomatoes	recipes	powder	amazing	felt	run	list	thinking	beans	tomato	mind	seen	inside	mean	brought	bag	four	fine	pot	clean	months	stay	seems	haven	added	taken	size	bottom	spent	completely	evening	plus	close	leaves	dad	huge	quick	above	onions	pick	ones	heart	feeling	gone	lemon	girl	anyone	watching	christmas	pour	car	means	fish	job	children	enjoyed	although	face	anyway	c	afternoon	break	middle	gets	chips	piece	busy	mother	olive	care	order	reading	corn	paper	area	playing	sliced	living	tsp	worth	coffee	excited	story	mine	potato	please	worked	super	soft	thank	local	fall	thanks	tomorrow	baked	beef	fried	box	case	pasta	group	game	husband	hands	monday	across	vanilla	spread	ate	sit	plan	roll	stick	sister	parents	finished	apple	slightly	quickly	rather	photo	tonight	hit	town	near	center	talking	vegetables	others	golden	experience	serving	remove	spring	reason	wine	heard	drink	dark	shopping	oz	interesting	fruit	served	blue	cookies	plate	dried	cute	talk	city	sitting	running	longer	sprinkle	style	spend	ended	covered	given	young	kept	aside	dessert	lost	weather	fat	etc	restaurant	picked	lovely	onto	degrees	dough	ok	amount	ask	crazy	says	x	whatever	com	prepared	money	met	starting	forward	works	five	road	god	inch	takes	filled	definitely	become	note	waiting	orange	loves	slices	pork	boil	per	pie	healthy	cinnamon	choice	door	wouldn	hear	thick	vegetable	behind	wednesday	awesome	wish	non	mixed	important	moment	seeing	simply	thursday	tea	slice	chili	photos	needs	except	smooth	deep	beat	words	roasted	boy	walking	walked	garden	ginger	recently	below	wrong	filling	teaspoon	country	pizza	frozen	seem	glass	main	girls	air	sun	flavor	move	music	drive	saying	bacon	coconut	e	sleep	park	melted	liked	dishes	lives	round	number	hold	vinegar	movie	usual	played	fast	learned	remaining	true	diced	combine	st	church	honey	woman	funny	daughter	form	market	phone	entire	color	child	mushrooms	thin	watched	homemade	word	miss	fridge	yellow	slow
Garden Eat Live	0	0	1	0	0	0	1	0	0	1	0	1	0	1	3	1	1	0	2	2	0	0	0	0	1	1	3	1	0	0	1	0	0	1	1	2	4	0	6	0	0	2	0	0	0	0	2	1	1	2	0	1	1	0	2	1	2	0	0	0	2	0	1	0	7	5	0	4	2	1	0	1	1	1	0	0	1	1	0	0	0	2	0	0	1	1	0	1	2	2	0	0	2	1	5	1	0	0	0	0	0	0	2	2	1	2	0	1	1	0	0	0	2	0	0	1	0	2	0	2	0	0	1	3	0	1	0	1	2	0	1	0	1	7	2	0	3	0	1	0	1	1	0	4	0	0	1	0	0	0	0	0	0	0	1	0	1	8	0	0	0	4	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	2	0	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	1	0	0	2	0	1	0	0	1	1	0	1	1	0	0	0	1	2	0	0	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	3	0	2	1	3	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	4	1	0	2	0	1	3	0	0	0	1	1	0	0	0	2	1	3	0	1	0	2	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Web Science and Digital Libraries Research Group	1	0	2	1	2	0	0	0	4	2	0	0	1	1	0	0	0	5	1	0	1	2	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	9	0	0	0	0	1	0	5	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	1	0	1	0	0	5	0	0	2	0	0	3	0	0	6	0	0	0	0	0	0	0	0	2	1	0	0	4	0	0	0	0	0	2	7	0	0	0	0	4	1	0	4	0	2	0	0	0	0	0	1	0	9	1	1	2	0	0	2	3	0	1	1	3	1	0	4	0	4	0	0	0	1	0	3	2	0	0	0	0	0	0	9	1	0	0	1	0	1	9	1	0	0	1	4	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	2	12	0	0	0	1	1	0	0	4	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	3	1	0	0	0	0	1	0	0	0	1	2	2	2	0	1	1	0	0	0	0	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	1	0	0	1	4	2	0	21	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	1	7	3	0	0	0	0	4	3	0	4	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	4	2	0	3	2	0	0	0	0	2	1	0	0	0	0	5	0	0	1	0	1	0	0	0	0	1	1	0	0	2	0	1	19	0	0	0	1	1	3	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	1	2	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	2	3	0	0	0	9	0	0	0	0	0	1	0	6	0	0	4	0	2	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
WhyMomWhy	1	1	0	0	1	0	0	1	1	2	0	1	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	3	0	0	0	0	0	2	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	2	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Recipe for Fitness	0	10	3	2	1	8	2	6	26	1	4	4	5	4	1	2	3	0	3	2	0	1	10	7	8	0	1	2	1	1	1	1	3	1	3	1	2	2	3	0	10	4	5	1	1	6	9	8	0	1	1	2	2	2	4	3	9	2	0	0	1	0	2	4	0	1	5	8	0	1	1	1	12	1	2	4	0	1	10	1	6	4	7	0	1	1	0	4	5	2	3	0	0	1	1	8	2	0	0	2	1	0	1	4	2	2	6	0	3	4	5	2	9	2	2	2	1	1	0	1	2	1	4	0	0	1	2	2	3	7	0	0	1	0	1	4	2	2	3	2	1	1	1	10	1	0	20	0	6	3	2	6	28	12	5	41	0	0	0	6	0	1	1	0	0	0	3	7	2	5	2	2	5	1	1	0	1	1	1	1	1	0	0	2	2	2	2	4	0	0	8	2	0	1	1	1	1	2	0	15	3	4	3	1	0	0	0	4	1	5	0	1	0	1	1	1	1	25	0	3	1	7	5	25	26	1	3	2	4	8	1	4	3	1	0	3	1	1	1	2	1	1	0	3	2	2	0	0	4	1	0	2	0	5	0	3	5	1	2	0	0	0	6	0	1	0	1	3	1	1	5	2	0	0	6	1	1	0	0	3	1	3	7	3	1	4	0	2	0	1	1	16	2	3	0	0	0	3	0	2	1	1	1	0	8	0	2	1	3	5	0	0	0	0	0	0	1	0	1	7	8	1	0	0	0	1	2	0	0	2	0	0	0	2	0	2	0	5	4	0	2	1	0	3	1	0	0	1	0	2	0	2	0	0	0	6	1	1	0	0	0	0	5	0	10	1	0	2	1	1	0	0	8	1	1	5	3	7	3	59	0	2	2	3	6	1	0	2	0	0	2	0	1	1	3	2	0	2	0	2	0	6	0	13	1	3	2	5	0	0	0	2	3	2	2	1	2	1	4	2	4	0	1	0	1	0	2	0	0	0	0	0	1	1	1	0	0	0	4	8	2	0	0	0	2	3	1	4	25	5	1	0	0	0	3	2	3	0	10	0	1	0	1	0	2	0	8	1	1	0	0	3	0	0	1	0	1	0	0	0	0	0	5	1	2	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0
Starr Circus	3	0	3	3	6	1	5	9	3	4	11	0	2	2	10	5	2	0	3	6	1	1	1	3	2	7	0	8	3	0	0	0	4	1	3	3	0	2	0	3	0	14	10	11	3	8	8	5	5	11	3	2	4	1	1	8	0	0	0	0	7	1	25	2	4	1	14	3	2	2	0	9	1	3	10	1	0	5	0	3	5	6	3	0	5	1	0	9	12	2	0	9	0	10	0	1	0	3	1	5	1	0	1	0	8	4	3	1	4	2	4	0	1	0	55	0	2	6	1	3	1	1	2	0	3	4	4	2	3	2	2	1	1	0	1	4	6	0	2	2	2	2	0	0	0	6	4	14	5	0	6	0	0	1	1	31	1	4	1	2	8	0	2	0	0	0	2	5	1	5	1	2	1	3	2	3	2	1	1	2	1	4	0	2	1	15	3	1	2	0	1	5	0	8	1	0	5	1	1	0	0	5	3	6	14	3	0	0	4	2	2	8	2	5	3	0	2	4	16	0	3	5	0	0	1	5	4	8	2	1	2	0	4	3	5	1	0	0	2	7	7	5	0	27	1	5	3	0	0	1	0	3	4	0	1	9	8	0	3	4	5	0	0	2	2	0	0	2	2	0	1	1	0	1	0	3	0	1	0	5	6	4	0	4	1	6	1	5	0	0	1	5	0	0	0	0	5	0	0	3	2	5	5	0	0	0	0	4	5	2	0	4	3	3	0	1	4	0	0	0	2	0	1	1	4	0	4	0	1	0	1	2	1	0	1	1	1	1	2	2	0	1	4	0	0	0	8	3	1	3	1	4	0	1	2	2	1	0	0	2	0	0	1	1	0	6	0	1	1	0	0	0	4	0	3	3	2	1	1	1	0	0	1	0	5	0	5	0	6	1	0	1	3	2	1	3	0	2	0	0	0	1	2	0	0	0	0	1	2	0	0	1	6	3	2	1	1	3	4	3	0	7	0	0	0	7	4	1	0	2	0	3	0	8	1	1	0	0	0	1	1	0	0	0	2	0	2	0	2	3	0	0	0	3	0	0	1	2	0	10	13	2	0	2	1	2	2	1	1	0	0	0	0	3	1	0	5	0	1	0	0	0	0	6	0	2	0	3	2	2	2	0	0	1	2	1	8	1	0	0
A Homegrown Family	3	10	4	4	0	1	0	5	5	2	6	4	4	4	2	7	0	3	3	1	3	5	2	3	0	1	4	4	0	8	3	8	1	7	3	0	4	3	0	2	0	1	1	3	1	1	1	0	5	2	0	2	3	1	8	0	1	8	1	2	0	3	8	4	7	4	2	2	5	8	1	0	1	2	3	0	4	0	2	0	1	2	0	1	3	9	6	0	3	3	0	1	4	4	0	7	2	1	1	2	1	1	3	4	2	6	3	2	0	5	1	0	4	1	0	14	1	0	2	0	3	3	7	1	0	5	2	0	2	4	1	7	0	1	0	0	5	21	4	7	0	3	1	2	9	3	8	0	2	0	7	5	1	0	2	2	1	2	2	11	2	2	1	0	3	6	0	0	0	3	3	0	0	0	0	1	1	10	0	4	1	3	4	3	1	2	0	0	6	3	2	0	1	0	1	1	0	2	6	11	1	0	2	1	2	9	7	2	2	3	0	0	2	0	0	2	2	2	3	0	1	2	3	4	1	1	2	0	3	0	3	2	2	0	2	0	4	1	3	1	4	1	2	0	1	0	0	4	0	0	0	0	3	2	0	0	2	18	0	0	0	1	1	0	1	0	2	1	0	12	1	2	1	2	1	2	5	0	0	1	0	1	1	1	1	0	0	1	2	3	0	2	0	0	1	1	0	0	0	0	1	0	3	0	0	1	0	1	5	0	0	1	1	5	1	1	2	0	0	6	0	2	3	1	0	4	4	1	0	1	2	8	1	0	0	0	0	3	1	1	0	0	1	0	1	6	1	1	0	2	0	2	1	0	3	0	0	0	0	2	1	1	0	2	1	4	0	2	8	0	0	1	0	0	0	0	1	0	0	1	0	3	0	3	5	9	0	0	0	3	0	1	0	0	0	1	1	2	0	0	1	0	4	2	1	1	0	0	1	2	0	1	0	0	0	0	0	2	0	1	0	8	0	1	0	1	0	1	0	2	1	1	0	0	1	1	3	0	2	2	0	0	1	1	4	2	2	2	0	0	0	4	0	0	4	0	1	7	0	0	2	1	1	1	0	6	2	0	0	0	0	0	0	1	1	0	1	1	0	2	7	0	4	0	3	2	0	1	0	1	0	0	0	0	3	0	0	2	2	0
Cheryl's 2 Cents' Worth	1	6	0	0	2	14	0	0	43	1	6	8	1	1	2	4	2	2	2	6	6	2	0	6	1	2	5	8	7	4	4	0	4	5	1	4	8	19	2	3	0	0	4	2	4	3	29	0	4	5	2	4	5	2	5	2	3	5	13	3	2	6	7	3	5	4	2	2	1	27	6	1	0	1	9	2	0	0	11	3	3	0	1	1	1	5	5	1	1	2	3	0	1	0	8	1	2	0	0	1	6	0	2	2	5	3	6	1	0	1	2	9	2	3	1	0	14	1	5	0	5	5	0	0	10	7	0	2	5	0	3	1	5	3	0	1	3	0	8	9	12	2	64	0	5	0	0	28	3	0	8	0	1	11	0	18	4	0	0	10	1	2	9	8	4	0	1	1	6	0	30	0	0	1	3	0	1	1	0	5	0	0	3	2	3	2	5	3	3	1	3	0	0	4	0	1	6	1	1	1	3	0	0	1	8	1	1	0	4	4	4	1	1	9	4	2	1	1	3	1	1	3	3	2	76	33	1	1	0	0	2	12	0	1	5	1	1	0	3	0	0	0	0	1	1	1	16	1	1	0	0	0	4	7	2	2	3	2	1	0	1	6	0	1	0	5	7	1	1	1	1	4	2	0	0	4	2	17	1	0	3	5	0	3	0	0	0	4	0	11	14	2	0	0	0	0	7	0	2	8	3	1	2	2	3	0	1	2	2	0	7	6	1	6	0	1	1	0	19	0	0	1	3	2	1	6	1	0	1	0	1	8	5	0	5	0	0	1	1	2	2	2	11	0	1	9	1	0	0	2	0	3	6	105	1	2	3	2	1	2	0	0	1	0	2	8	1	3	0	1	1	0	2	1	0	0	1	20	0	79	0	3	0	0	0	3	0	2	0	1	2	1	1	0	3	0	0	0	2	0	9	5	0	2	0	1	1	4	2	0	1	2	0	1	0	0	1	6	0	3	0	1	0	0	0	10	6	1	1	1	1	2	0	0	0	1	4	0	4	0	0	0	2	11	0	12	0	5	2	0	3	29	0	5	0	5	1	0	0	47	0	1	0	2	1	2	0	2	3	0	13	0	0	2	0	1	1	0	0	4	0	0	0	1	0	4	0	4	0	9	3	0	0	1	1	3	0	1	1	5
Food Made of Love	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Katy @ Sommerville Special School	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Redblur Ramblings	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Jones Archive	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fruia Family	2	1	1	0	1	1	0	0	2	3	2	0	3	0	1	1	0	1	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	6	1	0	2	1	0	1	4	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0	2	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	4	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	1	0	0	0	0	1	0	1	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	1	3	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
